,Abandonó_Servicio,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Antigüedad,Servicio_Telefónico,Múltiples_Líneas,Seguridad_Online,Respaldo_Online,Protección_Dispositivo,Soporte_Técnico,TV_Streaming,Películas_Streaming,Cargo_Mensual,Cargo_Total,Cuentas_Diarias,Género_Masculino,Servicio_Internet_Fibra optica,Servicio_Internet_No,Tipo_Contrato_Bianual,Tipo_Contrato_Mensual,Factura_Digital_Yes,Método_Pago_Cheque enviado por correo,Método_Pago_Tarjeta de crédito (automático),Método_Pago_Transferencia bancaria (automática)
1535,0,0,0,0,33,1,1,1,0,0,0,0,0,80.1,2603.3,2.62959595959596,1,1,0,0,0,0,0,0,1
1536,0,0,0,0,20,1,0,0,0,0,0,0,0,19.4,415.4,0.6923333333333332,1,0,1,0,1,0,1,0,0
1537,0,0,1,1,31,1,1,0,1,0,1,1,1,80.55,2471.6,2.6576344086021506,0,0,0,1,0,0,0,0,1
1538,1,0,1,1,20,1,1,0,1,1,0,1,1,105.85,2239.65,3.73275,0,1,0,0,1,1,0,0,1
1539,0,0,1,1,64,1,0,1,1,0,0,0,0,81.05,5135.35,2.674661458333333,1,1,0,0,1,0,0,0,0
1540,0,0,1,0,72,1,1,1,1,1,1,0,1,79.55,5810.9,2.690231481481481,1,0,0,1,0,0,0,1,0
1541,0,0,1,1,9,1,1,0,0,1,0,1,0,90.35,767.9,2.844074074074074,1,1,0,0,0,1,0,0,0
1542,0,0,0,0,61,1,1,1,0,1,0,1,1,104.0,6363.45,3.477295081967213,1,1,0,0,0,0,0,0,0
1543,0,0,0,1,52,1,1,1,1,0,1,1,1,85.15,4461.85,2.8601602564102566,1,0,0,1,0,1,1,0,0
1544,0,0,1,1,69,0,0,1,1,1,1,0,0,46.25,3121.4,1.5079227053140096,0,0,0,1,0,0,0,0,1
1545,0,0,0,0,1,1,1,0,1,0,0,0,0,79.15,79.15,2.6383333333333336,0,1,0,0,1,1,1,0,0
1546,0,0,1,1,68,1,0,0,0,1,1,1,1,72.95,4953.25,2.428063725490196,1,0,0,1,0,1,0,0,1
1547,0,0,1,0,14,1,1,0,0,0,1,1,0,66.6,979.5,2.3321428571428573,1,0,0,0,1,1,0,1,0
1548,0,0,0,0,7,0,0,0,0,1,1,0,0,35.5,249.55,1.1883333333333337,1,0,0,0,0,1,0,1,0
1549,1,1,0,0,2,1,0,0,0,0,0,0,0,70.2,115.95,1.9325,0,1,0,0,1,1,0,0,1
1550,0,0,0,0,1,1,0,0,0,0,0,0,0,70.1,70.1,2.3366666666666664,0,1,0,0,1,0,0,0,0
1551,0,0,1,1,51,1,1,0,0,0,0,0,0,24.95,1222.25,0.7988562091503268,1,0,1,1,0,1,1,0,0
1552,1,1,1,0,4,1,1,1,0,0,0,1,1,99.6,347.65,2.897083333333333,0,1,0,0,1,1,0,0,0
1553,0,0,1,1,15,1,0,0,0,0,0,0,0,19.35,278.85,0.6196666666666667,1,0,1,1,0,0,1,0,0
1554,0,0,1,0,72,1,1,0,1,1,1,1,1,109.15,7789.6,3.606296296296296,0,1,0,0,0,0,0,1,0
1555,0,0,1,0,50,1,1,1,1,0,0,0,1,94.4,4914.9,3.2766,1,1,0,0,1,1,0,1,0
1556,0,1,1,0,57,1,1,0,1,1,0,0,1,94.0,5438.95,3.180672514619883,0,1,0,0,1,0,0,1,0
1557,0,0,1,0,44,1,1,1,1,1,1,0,0,95.1,4060.55,3.0761742424242424,0,1,0,0,1,1,0,1,0
1558,0,0,1,1,62,1,1,0,1,1,1,1,1,110.8,6840.95,3.6779301075268815,0,1,0,0,0,1,0,0,0
1559,1,1,0,0,14,1,1,0,0,0,0,0,0,74.3,1096.25,2.6101190476190474,0,1,0,0,1,1,0,0,0
1560,0,0,0,0,7,1,0,1,1,0,1,1,1,78.5,571.05,2.719285714285714,0,0,0,0,1,1,0,0,0
1561,0,0,1,0,72,1,1,1,1,1,0,1,1,110.75,7751.7,3.58875,0,1,0,1,0,1,0,0,0
1562,0,0,0,0,1,1,0,0,0,0,1,0,0,49.05,49.05,1.635,1,0,0,0,1,0,1,0,0
1563,0,1,1,0,72,0,0,1,1,1,1,1,1,63.1,4685.55,2.169236111111111,1,0,0,1,0,1,0,0,1
1564,0,0,0,0,1,1,0,0,0,0,0,0,0,45.4,45.4,1.5133333333333332,0,0,0,0,1,1,1,0,0
1565,1,0,0,0,3,1,1,0,0,0,0,0,0,75.1,270.7,3.0077777777777777,0,1,0,0,1,1,0,1,0
1566,0,0,0,0,32,1,0,0,0,0,0,0,0,19.75,624.15,0.65015625,0,0,1,0,0,0,0,0,1
1567,0,1,1,0,71,1,0,0,1,1,0,1,1,99.2,7213.75,3.386737089201878,0,1,0,1,0,1,0,0,0
1568,0,1,1,0,60,1,1,0,0,0,1,1,1,99.0,6017.9,3.343277777777778,1,1,0,0,1,1,0,0,0
1569,0,1,0,0,4,1,1,0,0,0,0,0,0,48.75,179.85,1.49875,0,0,0,0,1,0,1,0,0
1570,0,0,1,0,52,1,1,0,1,0,1,0,1,95.65,5088.4,3.2617948717948715,1,1,0,0,1,1,0,1,0
1571,0,0,0,0,29,1,0,1,0,1,1,0,0,58.0,1734.5,1.99367816091954,0,0,0,0,0,0,0,1,0
1572,0,0,1,0,49,1,0,0,0,1,1,1,1,99.25,4920.8,3.347482993197279,1,1,0,0,0,1,0,1,0
1573,0,0,1,1,40,0,0,0,1,1,1,1,1,60.3,2448.5,2.0404166666666668,1,0,0,0,0,0,1,0,0
1574,0,0,1,0,57,1,1,0,0,1,0,1,1,100.75,5985.0,3.5,0,1,0,0,0,1,0,1,0
1575,0,0,1,1,62,1,1,0,0,0,0,1,1,70.45,4300.45,2.3120698924731182,0,0,0,0,1,1,0,1,0
1576,0,0,1,1,23,1,0,0,1,1,1,0,0,86.8,1940.8,2.8127536231884056,1,1,0,0,0,0,1,0,0
1577,0,0,1,0,65,1,0,1,1,1,0,0,1,71.0,4386.2,2.2493333333333334,0,0,0,1,0,0,0,0,1
1578,0,0,0,0,38,1,0,0,0,0,0,0,0,20.05,741.5,0.650438596491228,0,0,1,1,0,0,1,0,0
1579,1,1,1,0,48,1,1,1,1,1,1,1,1,117.45,5438.9,3.777013888888888,0,1,0,0,1,0,0,0,0
1580,0,0,1,0,72,1,1,0,1,1,0,1,1,82.15,5784.3,2.677916666666667,1,0,0,1,0,0,0,0,1
1581,0,0,1,0,2,1,0,0,0,0,0,0,0,19.85,52.0,0.8666666666666667,0,0,1,0,1,0,0,0,1
1582,0,0,1,0,28,1,0,0,0,0,1,0,0,76.55,2065.4,2.458809523809524,1,1,0,0,1,0,0,0,1
1583,0,1,0,0,65,1,1,1,0,1,1,1,1,109.05,7108.2,3.645230769230769,1,1,0,1,0,1,0,0,0
1584,0,0,0,0,2,1,0,0,0,0,0,0,0,19.4,61.05,1.0174999999999998,0,0,1,0,1,0,1,0,0
1585,1,0,0,0,10,0,0,0,0,0,0,0,1,33.9,298.45,0.9948333333333332,1,0,0,0,1,1,1,0,0
1586,1,0,1,1,16,1,0,0,1,1,0,1,0,89.45,1430.25,2.9796875,0,1,0,0,1,1,0,1,0
1587,0,0,1,1,72,0,0,1,1,1,1,0,1,55.65,3880.05,1.7963194444444446,0,0,0,1,0,0,0,1,0
1588,0,0,1,1,12,0,0,1,0,0,1,0,0,33.15,444.75,1.2354166666666666,0,0,0,0,0,0,0,1,0
1589,1,0,1,1,1,1,0,0,0,0,0,0,0,19.9,19.9,0.6633333333333333,0,0,1,0,1,1,0,0,0
1590,0,0,0,0,26,0,0,0,0,1,1,1,0,44.45,1183.8,1.5176923076923077,0,0,0,0,1,1,0,1,0
1591,0,0,0,0,20,1,0,0,0,0,0,0,0,19.5,403.15,0.6719166666666666,0,0,1,0,0,0,1,0,0
1592,0,0,0,0,7,1,0,0,0,0,0,0,0,19.3,144.95,0.6902380952380952,0,0,1,0,1,0,1,0,0
1593,1,0,1,1,38,1,0,1,1,0,1,1,1,80.3,3058.65,2.6830263157894736,0,0,0,0,0,0,0,1,0
1594,0,1,1,0,23,1,0,1,1,0,0,0,1,90.0,2024.1,2.933478260869565,1,1,0,0,1,1,0,0,0
1595,0,0,1,0,67,1,0,1,1,1,1,1,1,111.05,7321.05,3.642313432835821,1,1,0,1,0,1,0,0,0
1596,0,0,0,0,48,1,1,0,0,0,0,0,0,24.55,1203.95,0.8360763888888889,0,0,1,0,0,0,0,0,1
1597,0,0,0,0,64,1,1,0,1,1,0,1,1,104.4,6692.65,3.485755208333333,1,1,0,1,0,1,0,0,1
1598,0,0,0,0,3,1,0,1,0,0,0,0,0,74.55,233.65,2.596111111111111,0,1,0,0,1,1,0,0,0
1599,0,0,0,0,32,1,1,0,1,1,0,1,1,104.05,3416.85,3.55921875,0,1,0,0,0,1,0,1,0
1600,1,0,1,1,57,1,0,1,0,0,0,1,1,70.1,3913.3,2.288479532163743,0,0,0,0,0,1,0,0,1
1601,0,0,1,1,51,1,1,0,1,0,1,0,0,84.2,4299.75,2.8102941176470586,1,1,0,0,0,0,0,0,1
1602,1,0,0,0,16,1,0,0,0,0,0,0,0,19.7,342.4,0.7133333333333333,1,0,1,0,1,1,1,0,0
1603,0,0,0,0,48,1,1,0,0,0,0,0,0,25.05,1171.5,0.8135416666666667,0,0,1,0,0,0,0,1,0
1604,0,0,0,0,18,1,0,0,0,0,0,0,0,20.05,388.6,0.7196296296296296,1,0,1,1,0,0,0,1,0
1605,0,0,0,1,23,0,0,1,0,1,1,0,0,40.1,857.75,1.2431159420289857,1,0,0,1,0,0,1,0,0
1606,0,0,0,0,55,1,0,1,0,0,0,0,0,50.55,2832.75,1.7168181818181818,0,0,0,0,1,1,0,1,0
1607,0,0,0,0,2,1,0,0,0,0,0,0,0,20.3,41.2,0.6866666666666668,0,0,1,0,1,0,1,0,0
1608,1,0,1,0,9,1,0,0,1,1,1,1,0,94.85,890.6,3.2985185185185184,1,1,0,0,1,1,1,0,0
1609,0,0,0,0,27,1,0,0,0,0,0,0,0,20.35,531.6,0.6562962962962964,1,0,1,1,0,0,0,1,0
1610,0,0,0,0,35,0,0,0,0,0,0,0,0,24.15,812.5,0.7738095238095238,0,0,0,0,1,0,0,0,0
1611,0,0,1,1,58,1,0,0,0,0,0,0,0,20.5,1191.4,0.684712643678161,0,0,1,1,0,0,0,1,0
1612,0,0,1,0,42,1,1,1,0,1,0,0,1,94.4,4014.6,3.186190476190476,1,1,0,0,1,1,0,0,0
1613,0,0,1,0,44,1,0,1,1,1,0,0,0,61.5,2722.2,2.062272727272727,0,0,0,0,0,1,1,0,0
1614,0,0,1,1,43,1,0,1,0,1,0,1,1,75.2,3254.35,2.5227519379844963,0,0,0,1,0,0,0,0,1
1615,0,0,1,1,7,1,0,0,0,0,0,0,0,20.65,134.05,0.6383333333333334,0,0,1,0,0,0,1,0,0
1616,1,1,0,0,28,1,1,0,0,1,1,1,1,103.3,2890.65,3.44125,0,1,0,0,1,1,0,0,0
1617,0,0,1,1,41,1,0,0,0,1,0,1,1,94.9,3848.0,3.128455284552845,0,1,0,0,1,1,0,0,1
1618,1,0,0,0,24,1,1,0,1,0,0,0,0,80.25,1861.5,2.5854166666666667,1,1,0,0,1,1,0,0,0
1619,1,0,1,0,39,1,0,1,0,1,1,1,1,104.7,4134.85,3.5340598290598293,0,1,0,0,0,1,0,1,0
1620,0,0,1,0,65,1,1,1,0,1,0,1,1,104.25,6812.95,3.4938205128205126,1,1,0,0,1,1,0,0,0
1621,0,0,0,0,40,0,0,0,1,0,1,0,0,36.0,1382.9,1.1524166666666666,1,0,0,0,0,0,0,1,0
1622,0,0,1,0,46,1,0,1,1,0,1,0,1,70.6,3231.05,2.341340579710145,0,0,0,0,0,0,1,0,0
1623,1,0,0,0,36,1,1,0,0,0,0,0,1,84.75,3050.15,2.824212962962963,1,1,0,0,1,1,0,0,0
1624,0,0,0,0,62,1,0,0,1,1,1,1,1,80.4,4981.15,2.678037634408602,1,0,0,0,1,1,0,0,1
1625,0,0,0,0,30,1,0,1,1,0,1,1,0,70.4,2044.75,2.2719444444444443,1,0,0,0,0,0,0,0,0
1626,0,0,0,0,70,1,1,1,1,1,1,1,1,113.65,7939.25,3.780595238095238,0,1,0,1,0,1,0,0,1
1627,0,0,0,0,1,1,0,0,0,0,0,0,0,19.9,19.9,0.6633333333333333,1,0,1,0,1,1,1,0,0
1628,1,0,0,0,5,1,1,0,1,1,0,1,1,104.1,541.9,3.6126666666666662,1,1,0,0,1,0,1,0,0
1629,0,0,1,0,24,1,1,0,0,0,0,1,1,93.0,2248.05,3.122291666666667,1,1,0,0,1,1,0,0,0
1630,0,0,0,0,11,1,0,0,0,0,0,0,0,20.25,208.0,0.6303030303030303,1,0,1,0,1,0,1,0,0
1631,0,0,0,0,58,1,0,1,1,0,0,1,1,99.15,5720.95,3.2879022988505744,1,1,0,0,0,0,0,0,1
1632,1,0,0,0,2,1,0,0,0,0,0,0,0,44.35,81.25,1.3541666666666667,1,0,0,0,1,0,0,0,0
1633,0,0,0,0,8,1,0,0,0,0,0,1,1,66.25,546.45,2.276875,1,0,0,0,1,1,0,0,0
1634,0,1,0,0,35,1,1,1,0,0,0,0,1,91.0,3180.5,3.029047619047619,1,1,0,0,1,0,0,1,0
1635,0,1,1,0,65,1,1,0,1,1,0,1,1,104.35,6578.55,3.373615384615385,1,1,0,0,1,1,0,0,0
1636,0,0,1,1,68,1,0,1,1,1,1,1,1,85.0,5607.75,2.748897058823529,0,0,0,1,0,1,0,1,0
1637,1,0,0,0,6,1,0,0,1,0,0,1,0,84.85,523.5,2.908333333333333,1,1,0,0,1,1,0,0,0
1638,0,0,0,0,46,1,1,0,1,1,0,1,0,94.9,4422.95,3.205036231884058,1,1,0,0,0,1,0,1,0
1639,0,0,1,0,72,1,1,1,1,1,1,1,1,115.15,8349.7,3.865601851851852,0,1,0,1,0,0,0,0,0
1640,1,0,0,1,62,1,1,0,0,1,0,1,1,100.15,6413.65,3.4481989247311824,0,1,0,0,0,1,0,0,0
1641,0,1,0,0,38,1,0,0,0,0,0,0,0,20.2,735.9,0.6455263157894736,0,0,1,1,0,0,1,0,0
1642,1,0,0,0,1,1,0,0,0,0,0,1,0,53.5,53.5,1.7833333333333334,1,0,0,0,1,1,1,0,0
1643,0,0,0,0,58,1,0,0,0,0,1,1,1,95.3,5817.7,3.3435057471264367,0,1,0,0,1,1,0,0,0
1644,0,0,0,0,17,1,0,0,0,0,0,0,0,20.1,279.5,0.5480392156862746,1,0,1,0,0,1,1,0,0
1645,0,1,1,0,72,1,1,1,1,1,1,1,1,114.85,8317.95,3.850902777777778,0,1,0,1,0,1,0,0,1
1646,0,0,1,1,50,1,1,0,0,1,1,1,0,69.65,3442.15,2.294766666666667,1,0,0,0,0,1,0,0,0
1647,1,0,0,1,4,1,0,1,0,0,0,0,0,49.35,219.65,1.8304166666666668,1,0,0,0,1,0,0,0,0
1648,0,0,0,0,3,1,0,0,0,0,0,0,0,20.0,61.7,0.6855555555555556,0,0,1,0,1,1,1,0,0
1649,1,1,1,1,8,1,0,0,0,0,0,1,0,80.45,583.45,2.4310416666666668,1,1,0,0,1,1,0,1,0
1650,1,1,1,0,13,1,0,0,0,0,0,0,0,70.15,916.75,2.3506410256410257,0,1,0,0,1,1,0,0,0
1651,0,0,1,1,55,1,0,0,0,0,0,0,0,20.5,1177.95,0.7139090909090909,1,0,1,1,0,0,1,0,0
1652,0,0,1,0,71,1,1,1,1,1,1,1,1,90.1,6310.9,2.962863849765258,0,0,0,1,0,0,0,0,0
1653,0,0,0,0,37,1,0,0,1,1,0,0,0,80.05,3019.1,2.71990990990991,0,1,0,0,0,0,0,0,0
1654,1,1,1,1,41,1,1,0,1,1,1,1,1,111.95,4534.9,3.6869105691056903,1,1,0,0,0,1,0,0,0
1655,0,0,1,1,55,1,1,1,0,1,1,1,1,85.1,4657.95,2.823,0,0,0,1,0,1,0,0,1
1656,0,0,1,1,61,0,0,1,1,0,1,0,1,50.7,3088.75,1.6878415300546448,0,0,0,0,0,1,0,0,1
1657,0,0,1,1,44,1,0,0,1,1,1,0,0,61.9,2924.05,2.215189393939394,1,0,0,0,1,1,1,0,0
1658,1,0,1,0,59,1,1,1,1,1,0,1,1,110.15,6448.05,3.642966101694916,1,1,0,0,0,1,0,0,0
1659,1,1,0,0,10,0,0,0,0,0,0,0,1,34.7,329.8,1.0993333333333333,0,0,0,0,1,1,0,0,0
1660,0,0,0,1,2,1,0,0,0,0,0,0,0,20.4,42.9,0.715,1,0,1,0,1,0,1,0,0
1661,0,0,1,1,56,1,0,0,0,0,0,0,0,19.8,1119.9,0.666607142857143,0,0,1,1,0,1,0,1,0
1662,0,0,1,0,72,1,1,0,1,1,1,1,1,108.4,7719.5,3.5738425925925927,1,1,0,1,0,1,0,0,0
1663,0,1,0,0,1,1,0,0,0,0,1,0,0,74.7,74.7,2.49,1,1,0,0,1,0,0,0,0
1664,0,1,1,0,44,1,0,0,0,0,0,0,0,19.35,847.25,0.6418560606060606,1,0,1,1,0,1,0,1,0
1665,0,0,0,0,10,1,0,0,0,0,0,0,0,19.75,208.25,0.6941666666666667,1,0,1,0,1,0,0,1,0
1666,0,0,0,0,72,1,0,0,0,0,0,0,0,19.85,1434.1,0.6639351851851851,1,0,1,1,0,0,0,0,1
1667,0,0,0,0,66,1,0,1,1,0,0,0,0,54.8,3465.7,1.750353535353535,1,0,0,0,0,1,1,0,0
1668,1,0,1,0,24,1,1,0,0,1,0,1,1,101.05,2391.8,3.3219444444444446,1,1,0,0,1,1,0,0,0
1669,0,0,0,0,18,1,1,0,0,1,0,1,0,89.6,1633.0,3.024074074074074,1,1,0,0,0,1,0,1,0
1670,1,0,0,0,22,1,1,1,0,0,0,0,0,54.45,1127.35,1.7081060606060603,1,0,0,0,1,1,0,0,0
1671,0,0,1,0,64,1,1,1,0,1,0,1,0,94.6,5948.7,3.09828125,0,1,0,1,0,1,0,1,0
1672,0,0,1,1,22,0,0,0,1,0,0,1,0,39.2,849.9,1.2877272727272726,0,0,0,0,1,0,0,0,0
1673,0,1,1,0,38,1,1,0,1,1,0,1,1,102.6,4009.2,3.5168421052631578,1,1,0,0,1,1,0,0,0
1674,0,0,0,0,5,1,0,0,0,0,0,0,0,20.25,109.8,0.732,1,0,1,0,1,0,1,0,0
1675,1,1,0,0,6,1,1,0,1,0,0,1,1,98.25,560.6,3.114444444444445,0,1,0,0,1,1,0,0,0
1676,1,0,0,0,1,1,0,0,0,0,0,0,0,70.3,70.3,2.3433333333333333,1,1,0,0,1,1,0,0,0
1677,0,0,1,0,18,1,1,0,1,0,0,0,0,56.8,1074.65,1.9900925925925927,1,0,0,0,1,0,0,1,0
1678,0,0,0,0,11,1,0,0,0,1,1,0,0,53.8,651.55,1.9743939393939391,0,0,0,0,0,0,0,0,1
1679,0,1,0,0,67,1,1,1,1,0,1,0,0,64.55,4250.1,2.114477611940299,1,0,0,1,0,1,0,0,1
1680,0,1,0,0,67,1,1,0,0,1,0,1,1,101.4,6841.05,3.403507462686567,1,1,0,0,1,1,0,1,0
1681,0,1,1,0,72,1,1,0,0,0,0,0,0,25.7,1937.4,0.8969444444444444,0,0,1,1,0,1,0,1,0
1682,0,0,0,0,47,1,0,1,0,0,0,0,0,75.45,3545.1,2.514255319148936,0,1,0,0,1,0,0,1,0
1683,0,1,0,0,54,1,1,0,1,0,1,1,0,72.1,3886.05,2.3987962962962963,0,0,0,0,0,0,1,0,0
1684,1,1,1,0,12,1,1,0,1,1,0,1,0,98.1,1060.2,2.9450000000000003,0,1,0,0,1,1,0,0,0
1685,0,0,0,0,31,1,1,1,0,1,0,0,0,84.75,2613.4,2.8101075268817204,0,1,0,0,1,1,0,1,0
1686,0,0,0,0,11,1,0,1,0,1,0,0,1,64.05,733.95,2.224090909090909,0,0,0,0,1,0,0,0,1
1687,1,1,0,0,40,0,0,1,1,0,0,1,1,55.8,2109.35,1.7577916666666666,0,0,0,0,1,1,0,0,0
1688,0,1,1,1,11,1,1,0,0,0,0,0,0,75.2,775.3,2.349393939393939,1,1,0,0,1,1,0,1,0
1689,1,0,0,0,5,1,1,0,0,1,0,1,0,92.5,452.7,3.018,1,1,0,0,1,1,0,0,0
1690,0,0,0,0,1,1,0,0,0,0,0,0,0,19.75,19.75,0.6583333333333333,1,0,1,0,1,1,1,0,0
1691,0,0,1,1,20,1,0,0,0,0,0,0,0,19.7,395.6,0.6593333333333333,0,0,1,0,0,0,0,0,1
1692,0,0,1,1,8,1,0,0,0,0,0,0,0,19.65,169.75,0.7072916666666667,1,0,1,0,1,0,0,1,0
1693,0,0,0,0,1,1,0,0,0,0,1,0,0,74.3,74.3,2.4766666666666666,1,1,0,0,1,1,1,0,0
1694,0,1,0,0,72,1,1,0,1,1,1,1,1,111.65,7943.45,3.677523148148148,0,1,0,1,0,0,0,0,0
1695,1,0,1,0,6,1,0,0,1,1,0,0,1,91.0,531.0,2.95,1,1,0,0,1,1,0,0,0
1696,1,1,1,0,40,1,1,1,0,0,0,1,1,101.85,4086.3,3.40525,1,1,0,0,1,0,0,0,0
1697,0,0,1,0,23,1,1,0,0,0,1,1,1,73.65,1642.75,2.3807971014492755,0,0,0,0,1,1,0,1,0
1698,0,0,0,0,30,1,1,1,1,1,1,0,0,95.0,2852.4,3.1693333333333333,1,1,0,0,1,1,0,1,0
1699,0,0,0,0,29,1,1,0,0,0,0,0,0,76.0,2215.25,2.546264367816092,0,1,0,0,1,1,0,1,0
1700,0,0,1,0,59,0,0,0,0,0,0,1,1,44.3,2666.75,1.5066384180790962,1,0,0,0,1,1,0,0,0
1701,1,1,1,0,41,1,1,1,0,1,0,0,0,83.75,3273.55,2.6614227642276425,1,1,0,0,1,1,0,0,1
1702,0,1,1,0,58,1,1,0,1,0,0,1,1,97.8,5458.8,3.137241379310345,0,1,0,0,0,1,0,0,1
1703,0,0,1,0,1,1,0,0,0,0,0,0,0,20.65,20.65,0.6883333333333332,0,0,1,0,1,1,1,0,0
1704,0,0,1,1,4,1,0,0,0,0,0,0,0,44.8,169.65,1.41375,1,0,0,0,1,0,0,0,0
1705,0,0,0,1,61,1,1,0,0,0,0,0,0,25.0,1498.35,0.8187704918032787,0,0,1,1,0,1,0,1,0
1706,1,0,0,0,10,1,0,0,0,0,0,0,0,70.0,740.0,2.466666666666667,1,1,0,0,1,1,0,0,0
1707,0,0,0,0,39,1,0,1,0,0,0,0,0,47.85,1886.4,1.6123076923076924,0,0,0,0,0,1,0,0,0
1708,1,0,1,1,31,1,0,0,0,0,0,0,0,19.55,658.95,0.7085483870967743,0,0,1,0,1,1,1,0,0
1709,1,0,1,0,2,0,0,0,0,0,0,0,1,35.1,68.75,1.1458333333333333,0,0,0,0,1,1,0,0,0
1710,0,0,1,0,31,1,1,0,0,1,1,1,1,79.3,2484.0,2.670967741935484,1,0,0,0,0,1,1,0,0
1711,1,0,0,0,4,0,0,0,0,0,0,1,1,44.55,174.3,1.4525,1,0,0,0,1,1,0,0,0
1712,0,0,0,0,33,1,1,1,0,0,0,0,1,90.65,2989.6,3.01979797979798,0,1,0,0,1,1,0,0,0
1713,0,0,0,1,4,1,0,0,0,0,0,0,0,20.4,84.75,0.70625,0,0,1,0,0,1,1,0,0
1714,0,0,1,1,32,1,0,1,1,1,1,0,1,73.6,2316.85,2.4133854166666664,0,0,0,1,0,0,1,0,0
1715,0,1,1,0,72,1,1,0,1,1,1,1,1,110.8,7882.25,3.649189814814815,0,1,0,1,0,1,0,1,0
1716,0,0,0,0,11,1,0,0,0,0,0,0,0,70.2,760.05,2.303181818181818,1,1,0,0,1,0,0,0,0
1717,0,1,1,0,23,1,1,0,0,0,0,0,1,86.8,1975.85,2.863550724637681,1,1,0,0,1,0,0,0,0
1718,1,0,0,0,6,1,0,1,1,1,1,0,1,98.15,567.45,3.1525000000000003,0,1,0,0,1,1,0,0,1
1719,1,1,1,0,1,1,0,0,0,0,0,0,0,69.55,69.55,2.3183333333333334,0,1,0,0,1,1,0,0,0
1720,0,0,0,0,15,1,1,0,1,0,1,0,1,95.7,1451.1,3.2246666666666663,1,1,0,0,1,0,0,0,0
1721,0,0,1,0,72,1,1,0,0,0,0,0,0,25.75,1864.2,0.8630555555555556,1,0,1,1,0,0,0,1,0
1722,0,0,1,1,35,1,1,0,0,0,0,0,0,24.3,821.6,0.7824761904761905,0,0,1,1,0,0,0,0,1
1723,0,0,1,1,50,1,1,0,0,1,0,0,0,54.9,2614.1,1.7427333333333332,1,0,0,0,0,0,0,0,1
1724,1,0,0,0,1,1,0,0,0,0,0,1,0,79.5,79.5,2.65,1,1,0,0,1,1,0,0,0
1725,1,1,0,0,2,1,1,0,0,0,0,0,0,75.45,158.4,2.64,0,1,0,0,1,1,1,0,0
1726,0,0,1,1,41,1,0,1,1,0,1,1,1,78.45,3126.45,2.541829268292682,0,0,0,1,0,0,0,0,0
1727,0,1,0,0,33,0,0,0,0,1,1,1,1,54.6,1803.7,1.821919191919192,1,0,0,0,1,1,0,0,0
1728,1,0,0,1,38,1,1,0,0,1,0,1,1,99.25,3777.15,3.3132894736842107,1,1,0,0,1,1,0,0,1
1729,0,1,1,0,60,1,1,0,1,1,0,1,1,104.35,6339.45,3.5219166666666664,1,1,0,0,0,1,0,0,0
1730,0,0,1,1,25,1,1,0,0,0,1,0,0,55.1,1466.1,1.9548,1,0,0,0,0,1,1,0,0
1731,0,0,1,1,0,1,0,0,0,0,0,0,0,20.0,0.0,0.0,0,0,1,1,0,0,1,0,0
1732,0,0,1,0,70,1,0,1,1,1,1,0,1,101.0,7085.5,3.374047619047619,1,1,0,1,0,0,0,1,0
1733,0,0,1,0,60,1,1,1,0,1,1,1,1,109.45,6572.85,3.651583333333333,1,1,0,0,1,1,0,0,1
1734,0,1,1,0,34,1,0,0,0,1,1,1,0,64.2,2106.3,2.0650000000000004,0,0,0,0,0,0,0,0,1
1735,0,0,1,0,27,1,0,0,1,0,0,0,0,76.1,2093.4,2.5844444444444448,0,1,0,0,1,1,0,0,0
1736,0,0,0,0,60,1,0,0,0,0,0,0,0,20.6,1093.0,0.6072222222222222,0,0,1,1,0,0,1,0,0
1737,1,1,1,0,17,1,0,0,1,0,0,0,0,76.45,1233.4,2.41843137254902,1,1,0,0,1,1,0,0,0
1738,1,0,1,0,71,1,1,0,0,0,0,1,1,93.7,6585.35,3.0917136150234743,0,1,0,1,0,1,0,0,1
1739,0,0,1,1,56,1,1,0,0,1,1,1,1,103.2,5873.75,3.496279761904762,1,1,0,1,0,1,0,0,0
1740,1,0,1,0,61,1,1,0,1,0,1,1,0,94.1,5638.3,3.0810382513661203,1,1,0,1,0,1,0,0,0
1741,0,0,1,1,15,0,0,1,0,0,0,0,0,30.2,469.65,1.0436666666666663,1,0,0,0,1,1,0,0,1
1742,0,0,1,0,70,0,0,1,1,1,1,1,1,64.55,4504.9,2.145190476190476,0,0,0,1,0,0,0,0,1
1743,0,0,0,1,1,0,0,0,0,0,0,0,0,24.7,24.7,0.8233333333333334,0,0,0,0,1,0,1,0,0
1744,0,0,1,1,42,1,0,1,0,0,1,0,1,63.7,2763.35,2.1931349206349204,1,0,0,0,0,0,0,1,0
1745,0,0,0,0,1,1,0,0,0,0,0,0,0,19.95,19.95,0.6649999999999999,0,0,1,0,1,0,0,1,0
1746,0,1,0,0,2,1,1,0,0,0,0,0,1,84.05,186.05,3.1008333333333336,0,1,0,0,1,1,0,0,0
1747,0,0,1,0,72,1,0,0,0,0,0,0,0,20.7,1492.1,0.690787037037037,1,0,1,1,0,0,0,0,1
1748,0,0,1,0,52,1,0,1,1,0,0,1,1,75.4,3865.45,2.477852564102564,1,0,0,0,0,1,1,0,0
1749,0,0,1,1,57,1,0,1,1,0,0,0,0,53.45,3053.0,1.7853801169590644,0,0,0,0,0,0,0,0,0
